en,ru
Every day we meet new people and every time we take out something important for ourselves.,"Каждый день мы встречаем новых людей, и каждый раз мы берем что-то важное для себя."
Any person isn’t met by us in vain.,Ни один человек не встретился нам напрасно.
"Someone tests us, someonFor exampleves us a lesson, someone helps to receive new skills and knowlFor example, and someone makes us to become better and this is the most valuable thing.","Кто-то испытывает нас, кто-то дает нам урок, кто-то помогает получить новые навыки и знания, а кто-то помогает нам стать лучше, и это самое ценное."
In the relationships we receive as much as we can give.,"В отношениях мы получаем столько, сколько мы можем дать."
"If you want understanding, try to understand.","Если вы хотите понимания, попытайтесь понять."
Everything comes back is a simple formula which works at all times.,"Все возвращается — простая формула, которая работает во все времена."
It isn’t also necessary to fight for a place in human life.,Также нет необходимости бороться за место в жизни человека.
"Love can’t be ordered, but many people forget this simple and a very wise truth.","Любовь не может быть заказана, но многие люди забывают эту простую и очень мудрую истину."
Never try to win the space in life of other person.,Никогда не пытайтесь завоевать место в жизни другого человека.
"After all you can’t know for certain, whether it is necessary or not.","Ведь вы не можете знать наверняка, надо ли это ему или нет."
Building the relationships is always a hard work as well as their further development.,"Построение отношений всегда является тяжелой работой, как и их дальнейшее развитие."
They demand active participation of all involved parties.,Они требуют активного участия всех заинтересованных сторон.
"Sincerity, reciprocity and respect are those bases without which any relationships will fail.","Искренность, взаимность и уважение это база, без которой любые отношения потерпят неудачу."
It is necessary to be able to forgive.,Надо уметь прощать.
Many people consider the forgiveness as a sign of weakness.,Многие люди считают прощение признаком слабости.
But words «I forgive you» do not mean that at all.,Но слова «я тебя прощаю» значат не только это.
They mean more – «I won’t allow the past to spoil the future and the present therefore I forgive you and I release all offenses».,"Они имеют в виду больше — «Я не позволю прошлому испортить будущее и настоящее, поэтому я прощаю тебя, и отпускаю все обиды»."
