en,ru
"Imagine the scene: a woman inside a cage in the sea, with sharks all around her.","Представьте себе картину: женщина в клетке в море, с акулами вокруг."
Wouldn’t you expect the woman to feel terrified?,"Вы думаете, женщине страшно?"
"Well, some people would be shocked, but there are a lot of people who find such experiences absolutely thrilling.","Что ж, кого-то это может шокировать, но есть много людей, которые находят такие приключения абсолютно захватывающими."
There are more people of this character than you might think.,Таких людей больше чем вы думаете.
They leave their offices and businesses to spend their free time doing extremely dangerous things.,"Они покидают свои офисы и предприятия, чтобы провести свое свободное время, совершая очень опасные вещи."
"Some of them fly jets across deserts or go no diving in unexplored caves, while others explore African rivers.","Некоторые из них летают через пустыни на реактивных самолетах или ныряют в неизведанные пещеры, а другие изучают африканские реки."
All of them want to experience something more than their normal lives can offer.,"Все они хотят испытать нечто большее, чем может предложить их обычная жизнь."
They want adventure.,Они хотят приключений.
There is an adventurer inside every one of us.,Авантюрист живет внутри каждого из нас.
It doesn’t matter how old or strong you are.,"Не важно, сколько вам лет и насколько вы сильны."
"If you find that spirit, your life will take on new meaning.","Если вы обнаружите в себе этот дух, ваша жизнь приобретет новый смысл."
One advantage of doing extreme sports to satisfy your need for adventure is that you can completely forget about your everyday problems.,"Преимущество экстремальных видов спорта в том, что они удовлетворяют вашу потребность в приключениях, вы можете полностью забыть о повседневных проблемах."
You just can’t concerned about business phone calls or examination results when you’re jumping out of a plane.,"Вы просто не можете беспокоиться о деловых звонках или о результатах экзаменов, когда вы прыгаете с самолета."
How much danger can a person take?,Какую опасность может выдержать человек?
"If you like extreme kinds of sport panic is rare, even when you come face to face with a bad-tempered hippo on the Zambezi River.","Если вы любите экстремальный спорт, редко предадитесь панике, даже когда столкнетесь лицом к лицу со злым бегемотом на реке Замбези."
"You get scared, but a little fear makes the brain work faster, as long as you don’t let it turn into panic.","Вы испугались, но небольшое опасение заставляет мозг работать быстрее , пока вы не позволяете ему превратиться в панику."
There is an element of risk in all extreme sports.,Доля риска существует во всех экстремальных видах спорта.
"If you don’t do things right, you are asking for trouble.","Если вы не делаете все правильно, вы лезете на рожон."
But training and proper equipment help to make these sports safer.,Но подготовка и надлежащее оборудование поможет сделать эти виды спорта безопаснее.
"The difference between extreme sport and normal sport is that, although there are organized competitions for these sports, most extreme sports people are more interested in testing their own abilities than in winning prizes.","Разница между экстремальными видами спорта и нормальным спортом в том, что хоть и есть организованные соревнования для этих видов спорта, в самых экстремальных видах спорта люди больше заинтересованы в тестировании своих способностей, чем в выигрыше призов."
"In fact, most of them would agree with a famous mountaineer’s reply when asked why he wanted to climb Everest: «Because it’s there”.","На самом деле, большинство из них согласились бы с ответом известного альпиниста, когда его спросили, почему он хотел подняться на Эверест: «Потому, что он есть «."
